# Symposium old -> new paragraph map. Applies identically to original-en and modern-en.
# Coordinates: chapter number (1-based) . paragraph index (0-based), matching reader chapterNumber/paragraphIndex.
# Old = served baseline at main 38a97c6315fdad4fe01fe326c203f870e22e615b (original-en sha256 e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en sha256 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# No paragraph is merged, split or deleted, so offset_shift_* is 0 on every row (the columns keep the format read by prepare-structural-migration.py).
# Text is carried byte for byte (old hash == new hash) except modern-en 3.3, 3.7, 3.8 (C-06), marked text_changed=modern-en:
#   for those three, use mapping/changed-paragraph-ops.json (UTF-16 char and word opcodes) to project offsets.
# op: keep = same coordinate; renumber = same chapter, new index (+9 in chapter 1); move = new chapter (7.69-7.114 -> 8.0-8.45; 8.0 -> 8.46).
# New coordinates 1.0-1.8 have no old coordinate: they are the restored passages listed in inserted-paragraphs.tsv.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
1	10	1	19	renumber	0	0	none	f7fcdc7f5dced5405384d160b514c4b2548ddfab25a35535bb1cc833d280b981	f7fcdc7f5dced5405384d160b514c4b2548ddfab25a35535bb1cc833d280b981	242eb8a67d064167c6f8b867cbb819dd46ba5d9c727a357dbb60c2b0a295f5d7	242eb8a67d064167c6f8b867cbb819dd46ba5d9c727a357dbb60c2b0a295f5d7
1	11	1	20	renumber	0	0	none	2b95e8990e0c13f48b34a26ce703f022a4c3a98523b66eaa946718fbead4c151	2b95e8990e0c13f48b34a26ce703f022a4c3a98523b66eaa946718fbead4c151	c36179d1ccdf5867a52a9506fa0b3a5eddf9da15d67ffc0da35fe9d531664867	c36179d1ccdf5867a52a9506fa0b3a5eddf9da15d67ffc0da35fe9d531664867
1	12	1	21	renumber	0	0	none	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8
1	13	1	22	renumber	0	0	none	e0eda5aac31fe652bddda84e047c2ca3c48317a3d86b099a57306d72324adb69	e0eda5aac31fe652bddda84e047c2ca3c48317a3d86b099a57306d72324adb69	62b8f300e418cb0fba19e56099782c550206adba4f64fa91e0acd9a296f75281	62b8f300e418cb0fba19e56099782c550206adba4f64fa91e0acd9a296f75281
1	14	1	23	renumber	0	0	none	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29
1	15	1	24	renumber	0	0	none	3abf8bb5ed6edc8490066a7adc38197d9572a920b6521440e7a400595a8fa789	3abf8bb5ed6edc8490066a7adc38197d9572a920b6521440e7a400595a8fa789	0e50eac693820081691739a1e9aa8c68fafd384b1a446154f5dcf50f845d2958	0e50eac693820081691739a1e9aa8c68fafd384b1a446154f5dcf50f845d2958
1	16	1	25	renumber	0	0	none	71c0e58c577a6072a66edd44242a0bd5e079b3e29d802ed8d407a934478129e9	71c0e58c577a6072a66edd44242a0bd5e079b3e29d802ed8d407a934478129e9	a06e448f8f0997b867a77ba765f1780c10d462bd11be958eea9522002b3875ea	a06e448f8f0997b867a77ba765f1780c10d462bd11be958eea9522002b3875ea
1	17	1	26	renumber	0	0	none	cbfd1b01dcb0e000258fcb15a1179a0c417eee269a8a2af40217bd8eeda287f8	cbfd1b01dcb0e000258fcb15a1179a0c417eee269a8a2af40217bd8eeda287f8	41164ee7bde7fbac1a280fc810c0023c61ba471704a6b1a4ec4ef52a725ccda3	41164ee7bde7fbac1a280fc810c0023c61ba471704a6b1a4ec4ef52a725ccda3
1	18	1	27	renumber	0	0	none	8111ccfaf3caa2bffc28e5d4fef2bb96f17f4c6077ceb5dbeaa52aa5ecd6225f	8111ccfaf3caa2bffc28e5d4fef2bb96f17f4c6077ceb5dbeaa52aa5ecd6225f	5b2baf061a5ef8f9cf85ba95ae775dba9b3b779a6ae848689e8b5decc884d224	5b2baf061a5ef8f9cf85ba95ae775dba9b3b779a6ae848689e8b5decc884d224
1	19	1	28	renumber	0	0	none	fc06f8d83aede60ed3f00260434236d875b18b24719f47f4cab5752610884fa0	fc06f8d83aede60ed3f00260434236d875b18b24719f47f4cab5752610884fa0	7ff28adb454fa2278c41ef6784407a97c4e952ca94993e27b61aeb83aec43ba1	7ff28adb454fa2278c41ef6784407a97c4e952ca94993e27b61aeb83aec43ba1
