# Symposium live -> final paragraph map (composed: completeness repair + accessibility pass). Coordinates chapter.index (index 0-based).
# Old = live main 693121e30cde6aeabc2b0682f61b51aa8683735d (original-en e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# New = original-en 3521a12d5d5acd6d4ac83f53747192c5ae592f7bf5e965c9c9bff881965495a6 (completeness candidate; unchanged by the accessibility pass) and modern-en a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d (accessibility candidate).
# Column names and op values follow books/wip/symposium-completeness-repair/mapping/paragraph-map.tsv (read by prepare-structural-migration.py). offset_shift_* is 0 everywhere; text changes are given as opcodes in changed-paragraph-ops-live-to-final.json.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed_original_en	text_changed_modern_en	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
7	61	7	61	keep	0	0	none	accessibility	ed80fbce0f1fa02d1c2085a679963fd455e10e28ae6a2cdf963178bf7245ab87	ed80fbce0f1fa02d1c2085a679963fd455e10e28ae6a2cdf963178bf7245ab87	e95d74fdb34b72fd4ba9f085336ad87b59ba13dd1340b68ec212a35c36af26d3	ec56bf132c7c57b1ae56c0dd01c0de2de683da2748dd436b803e2ada5312b61f
7	62	7	62	keep	0	0	none	accessibility	afbe6749c21fe598075efeb899351ed82be6769da4bf3946f3f68f042bed05ce	afbe6749c21fe598075efeb899351ed82be6769da4bf3946f3f68f042bed05ce	8e0e9360766f432ca461c3c5c3931c54c96830a0560f96dcc0039eb3835068d7	7117828ef175148192c9ee641f0a7ba4b9e4706ebb3d5954759ff23e3f1c9ce3
7	63	7	63	keep	0	0	none	accessibility	64a557a07e3c730230775533b413f652a27e04de829a876e11c6d6916bd1c6d9	64a557a07e3c730230775533b413f652a27e04de829a876e11c6d6916bd1c6d9	f199d15c0d72b831a3a965c9b9fc78b7c92638eaaabe2feb7f5f8d4b3efeb7cd	1c786a386da4bc48d0be59dec950ca9aecffe9124c38ea07be74be81c61c8806
7	64	7	64	keep	0	0	none	accessibility	9f39a5e1aff1d178dde061078f0fec24738d46132815ea5107256307f0b9958f	9f39a5e1aff1d178dde061078f0fec24738d46132815ea5107256307f0b9958f	366179fb0f2d8140fdb9f0ae152f81f55162909eeb0549d403d2c51a4437799c	031daa697cdff535abb2baed5138b2228022114af9f280dd41c820664b0e958a
7	65	7	65	keep	0	0	none	accessibility	573dc51b89752617c6f5ed9fa113f097ed8b25126097784d9c9ce4314b0d04e9	573dc51b89752617c6f5ed9fa113f097ed8b25126097784d9c9ce4314b0d04e9	368bdfea20e894ab73add906f46a570eaee819d1b816f9030006ce148aa341df	cff43c34b960568ee6a21a20f4b02abec1dd4de38c3f068ab4a16efc39ea27df
7	66	7	66	keep	0	0	none	accessibility	f0afc978dfe0d7159cdb0254f69235815658773fe24395599b93f5c054ecf088	f0afc978dfe0d7159cdb0254f69235815658773fe24395599b93f5c054ecf088	ba5b5a1ff7bec7780da969152530bfb3008ae6109a4e08faada5ea3aac8add43	17e81ec7f862526ab111718000f08a6c2cbdcb5690b7e025d17e39393c724a53
7	67	7	67	keep	0	0	none	accessibility	270e1c625b1a7d7bc68a223ee179c7602af3f5a9b6ca8c16019fd080387efb46	270e1c625b1a7d7bc68a223ee179c7602af3f5a9b6ca8c16019fd080387efb46	6419120aa44e3158030d78982eac0d24398002ac234e34ce4b5e66a2447b0c8e	4664087b76f71bc1baec7780b0a21d0c00b8e1f82c53ef00080e6f2d79795fa2
7	68	7	68	keep	0	0	none	accessibility	d5f931b3a4383f80e7152ba3b9d1ec673c2b1146671cc4baf1220357cab63fd1	d5f931b3a4383f80e7152ba3b9d1ec673c2b1146671cc4baf1220357cab63fd1	d417d2fe76580d9e2f0848ca426d91388a9bfc1bcaae5c81df42e2f825113b8e	169e26a9bfc5d9842b93338aa19eef4b06c400fa6450979b87250769b79df56d
7	69	8	0	move	0	0	none	accessibility	96889bd89dd8f9a95f0b0dab11491c8bb7367eb781a201be0dc0f5d6395667a3	96889bd89dd8f9a95f0b0dab11491c8bb7367eb781a201be0dc0f5d6395667a3	413004f16fc89427cd42f36d29f572c445f9597004c04d81a9529e6d0124501f	a9470cf9998d86fac236f109a297f574eac4435ee9e0fd65f8e40c33c2ebb3c0
7	70	8	1	move	0	0	none	accessibility	6848d159546e79468bf0fc021849f9b828f6d93fcb7c986bec516c27bc86de6d	6848d159546e79468bf0fc021849f9b828f6d93fcb7c986bec516c27bc86de6d	6848d159546e79468bf0fc021849f9b828f6d93fcb7c986bec516c27bc86de6d	30c4f604b5763bb00c3cfcf01bd6dee053168096401d841d8f0c17bedd52a85d
