# Per-paragraph hashes of candidate/symposium-modern-en.json (sha256 of the raw UTF-8 paragraph text, the character-card paragraphHashes convention).
chapter	index	sha256	words	utf16_length	origin
7	66	ba5b5a1ff7bec7780da969152530bfb3008ae6109a4e08faada5ea3aac8add43	65	345	baseline 7.66 (unchanged)
7	67	6419120aa44e3158030d78982eac0d24398002ac234e34ce4b5e66a2447b0c8e	103	513	baseline 7.67 (unchanged)
7	68	d417d2fe76580d9e2f0848ca426d91388a9bfc1bcaae5c81df42e2f825113b8e	20	111	baseline 7.68 (unchanged)
8	0	413004f16fc89427cd42f36d29f572c445f9597004c04d81a9529e6d0124501f	274	1453	baseline 7.69 (unchanged)
8	1	6848d159546e79468bf0fc021849f9b828f6d93fcb7c986bec516c27bc86de6d	7	31	baseline 7.70 (unchanged)
8	2	94ba300c9a250af85d310b2230caaea93eed2f0de86ce9ca9e485d4add004f56	106	576	baseline 7.71 (unchanged)
8	3	05cda0c63ac8365aaf61841fb668660c3c8dc5f7b1f6ae1159eb9d152742e48f	98	519	baseline 7.72 (unchanged)
8	4	1b6e2fc3483ccd4dcced98f90be46ec59eb8122aebb68ae5b7133b0ecf6b6ea2	116	566	baseline 7.73 (unchanged)
8	5	a0266afd498c399c6c2e444860badc1cfc389e6863639d026e17fa8b5b8b41c1	95	537	baseline 7.74 (unchanged)
8	6	1a46be71fa9d29b2482cfc42e7543bb614435213f2fd8ed032c4517f34bf75f2	137	744	baseline 7.75 (unchanged)
8	7	c5084d160b2b4e86a0a4d3a3ad86739259f9b4036a5b5ae2b0c7bcf382080f84	26	151	baseline 7.76 (unchanged)
8	8	7436d5d7a8ad3d84a947a980291441194e9730df4c11c70ff409829f7511647d	12	70	baseline 7.77 (unchanged)
8	9	6ec46c0f96e7f1816438081d900488736826525279ee149f9fe738b2ea9639fa	11	60	baseline 7.78 (unchanged)
8	10	76687515c3be5b8824219055dab20266dee7c3561cf76a00210bb52069bac770	7	39	baseline 7.79 (unchanged)
8	11	c9e1b0f0c14f4caf5035f29ab08d428bac86d821dc17b058695d9484073e20ed	8	49	baseline 7.80 (unchanged)
8	12	dfd766f38664fc5e749bfd36b919ce71993575279a4d43c8b2f51ca1b2a41535	10	54	baseline 7.81 (unchanged)
8	13	9020e44395244fb9620a5a8a3634f24ce71c2c0d2bc21f688d6dfd9f79bcfc32	84	420	baseline 7.82 (unchanged)
8	14	4721ad983cacf00ab192c04c55e2e78141675e96a0b77bedb2e16045e789af37	77	411	baseline 7.83 (unchanged)
8	15	16df5b640c1b6fdfbdf8be7f81b4c100834311f10ef06c3217fecf34ebc95cb1	4	27	baseline 7.84 (unchanged)
8	16	e4432dd75bd9fca47ef863c53c09c9a56ade4112b51472c3469ed0c2a6899ff8	23	124	baseline 7.85 (unchanged)
8	17	8a1773f9243702c2f1d4cd85848c41bbb5ba75005e3b60313e830e8ed633afc9	9	61	baseline 7.86 (unchanged)
8	18	b652452fb76b3a4fd488f7b1274eb29705b6d761ffc57f873c25ddfa89b9c394	18	114	baseline 7.87 (unchanged)
8	19	0aa4c58a30622cf17f23d25bb439d79df676bc5de7c4c54105ec9f14f097f8ac	23	120	baseline 7.88 (unchanged)
8	20	da4a03078534037a2ae9af2f584d1e29f30a43c8d5263b6327a7428a62942d54	12	55	baseline 7.89 (unchanged)
8	21	e6234c63e9ffdaa7f7870d5ce76af67bae65e163646c24168253010f8bbd767e	11	55	baseline 7.90 (unchanged)
8	22	2eafdf7a8331a1e209a4debb407b943d7f5608896db8a350fb2b29e7aec9f7f9	77	381	baseline 7.91 (unchanged)
8	23	cd5a3cd30ea24270a3fb0db4841f3641a4bd45301671a7b9ab013e3ec4531667	255	1309	baseline 7.92 (unchanged)
8	24	643663ee13ea57597f0e7afe9bbb343e473c659059d42f7c4d33fd35ccfcc45a	281	1439	baseline 7.93 (unchanged)
