chapter	paragraph_index	class	review_edited	live_sha256	candidate_sha256
4	31	wording		ef881df0e4d4db4d66bab79ad9d4fb5a4e59f29eecebe23b92c152d13e5be335	e77a18847755526bdc431e2ca79af62c1507cc2cb12b9ea58208a4240532a76a
4	32	wording		cd65c984e80499bf274a45e7a6c6172b2453323db4aa7410634503a47a8a19e4	601700b721fb1f1cd15dccd02ddc16d8b743ef8fc7da62b8fa49628eff1e5b3e
4	33	wording		a34c65b87712315594af7ec520262c0d4112d2168976817e1df2a554f1464c86	cbc230f55bde9c2e9ef2f1186388c691245a7c2e8fba090c38ecba72fe155c4f
4	34	wording		605d57b5d4ca472957a550fbcad1172e2566c0d241220586a34c10484f71e0b9	eaee21ce1bef6d7501cffeae1aee995310c7fff46fba589ed9bfc1f0843a527c
4	35	wording		ec2c77e42051af55e3db239f5c7513dfd08c7975851f5b2f4bc3e2e75f759895	f5c34ff96f3f8e6c84bf348ef22c7a70b6ead4ad04a931aa7ea94a72dcae0257
4	36	wording		d00d4af2e35c2445dedc81f65e5976225730176212c0318b72cfd2458cde9273	6879153e96ad78cca9b1503f0cbb823feddda7c42db3eb297f907de62f422201
4	37	wording		7e6ff60bac29aab51bf105978a9d6db1e27dfe0a5dadbb78b2050df1dbbd01eb	ea400eef721a65c7fb89395b49c49bc41671a864303ec911014f55173ed598e8
4	38	wording		c2b4b4efde14a898340be4fa7d3ef24d04cf78db984429c05af658908bc22a6d	980425781bd7cfa24b3b67a9a3c1ff3a59ad3f7062247078521e76171109d5db
4	39	wording		dd48aac0a57106d7a0a3e056e2095353a14c8b62a2162bf5e99238232e2de82d	5f2e264ca76ad107b9a279f9799a9185b3a3b17d80f26a1e11856e2e4c7eaec3
4	40	wording		af06abf3e49e43f75ace5e136adaca318c89c8804df03ff4589662b031c05a2e	1417512d85d878a3583137376e0c1c2ea0d85c7b4b1a26c7497d36b272d6f264
4	41	wording		5bd7d9abb57861ca4485256dafeb90373eebe176b887318476164c0b3639d4ab	14492d45bef86e8cf4ed01c394fe5f1d694416066702e10e25e22fd423bb85f1
4	42	wording		14e4ffdf1039dea47ce7462cec8e47ff9b4904bda4aee3f0ec88d6ff05c8befd	307856945f77336400a145ea7785ff19d565f0220de2ce738ef160412a0934d4
4	43	wording		659bacb337bcaa4ad0574505c6922f6281b123b78f4847f8bcd9df27e2a8994a	7f05957b2eda8ebb41d8cb215e87b28ae387d9be3772107e7ab26c341591580f
