# sha256 of each raw paragraph (UTF-8). before = accepted completeness candidate 1e970b7beb3f098095ecf1a9fc7d78a8855d75e6ffc3bba14edc69db0e05374f; after = this candidate a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d.
coordinate	sha256_before	sha256_after	changed
6.5	8b6115b28cac3e7946b819bed6f449e5fa4bda158ec89c1b8adaf58bb048ef3e	8b6115b28cac3e7946b819bed6f449e5fa4bda158ec89c1b8adaf58bb048ef3e	no
6.6	cf7a58e86d21c80e62d3634bac31bd9d1b5648bcba49fdb10323c5a1d2f7eb0c	df366295866923d0ae718811e3283262d0ce584eaca837e8949b96a9291b621a	yes
6.7	e0554cba87d3b070f1c327a34d2b0988ffb7e0c4d726cb3fbed6fb4e19707a7b	1bc1e9f69ac33dbecc802a3caa2418b6a1ef8e262d9fd7f9afbd65359e50ef2e	yes
6.8	e9e0f69a06e15658ebd7a8683052047578c6d88dc3001b1aa4be0c7915695b70	5a1699391f3c6173f84d5037508670ebbe1c70e8a77a403df163da498afa9985	yes
6.9	adb9b60114376c59f843d8541047df0816a842a47995f816d1470e9a5663dac7	274489752639d36db604145f5245b6c4f64d5bedf92f24cc409e96a2d6d4f12d	yes
6.10	df7a2bce5d6fa812ffb7577dbfd438ac7cdf78236148478d816c3c075eaf3b39	666217fe268c24f242bbbd717b2866c4fdf17156294c15cc5bb40327308442f9	yes
6.11	48d92d8c2ca86ed062bc70f55f7ceca163775c1b377ccc3904e440e21871900d	130a94d6a1c69277bf9f6598c0aeef1ea50b530c14c9834d549287d77478545b	yes
6.12	803e9a98db8e6d77f6c61224d553ea2f0ca25efb9c4362ef23eba49ec6a4f641	75e47d808b7aae1cd5e0a27a063dbdd61f9c7bed94ed0a3003138651c7d56906	yes
7.0	75207612da929d9997a21ba4ed292e52a5d91a1e8fb73a3b7faa9c8218e616e0	b62bfd69636ca3743c842f82999b494a31e368ca33e3d421b40a7b3ae2d15eaa	yes
7.1	86f0c353f4a85e8477148e6e9e1487dbbbc51f0c5c0c687d0289f5277b3f4a76	86f0c353f4a85e8477148e6e9e1487dbbbc51f0c5c0c687d0289f5277b3f4a76	no
7.2	53bc5c4eba2e4e2204e1f27a93870487fa68dbf9e21e3df4829b33b11b03fd21	53bc5c4eba2e4e2204e1f27a93870487fa68dbf9e21e3df4829b33b11b03fd21	no
7.3	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	no
7.4	96a0ec0df58b994ec4b56be67ce59d8461867563d1b896862d598962f5a40eee	e51a736b9d6e8dd432c02962fd0c71139025e9d689fedc4e64e9a6d20b099d8f	yes
7.5	0c2089b68d804cef3ec8611f0660b82054447f15f513ec8145d16d54cbaeabb3	0c2089b68d804cef3ec8611f0660b82054447f15f513ec8145d16d54cbaeabb3	no
7.6	d7e96d1d9fe31f73a371f10f72cc54fc39d9d9ff66c591415468efa8ea841b73	d7e96d1d9fe31f73a371f10f72cc54fc39d9d9ff66c591415468efa8ea841b73	no
7.7	d5edc5b7ffc3c7303e21c16cb32044c7cf5dab128c518f258c68432880f9bae0	d5edc5b7ffc3c7303e21c16cb32044c7cf5dab128c518f258c68432880f9bae0	no
7.8	abb1d603c6d468b91fdaf5349c1f7062705e523e9911c99707ae96284db556f6	be08f8a87a92a8eb1c0da13c45172e3125c6b101b688467a5298f3074393598b	yes
7.9	1ddfd9f1a156964f32ff576687854733ae5677154b7eec5ce4eba70f8660c028	1ddfd9f1a156964f32ff576687854733ae5677154b7eec5ce4eba70f8660c028	no
7.10	4059cb38013313453593fb252c04f4fc2d720c3ce78ccebf29c8ef18cfe56252	077a1009d45b6d3741e5b790f1a7fd95d41bbeff1c2537b984c49c0ef92d2ef4	yes
7.11	d7e45a77928d5c7b7c3f9a315b4fa2ba77a7b203157d26d0e5baadc028700984	d7e45a77928d5c7b7c3f9a315b4fa2ba77a7b203157d26d0e5baadc028700984	no
